,key,booktitle,year
25,nooj/2015,NooJ,2015
26,nooj/2016,NooJ,2016
27,nooj/2017,NooJ,2017
28,nooj/2018,NooJ,2018
29,issac/1988,ISSAC,1988
30,issac/2002,ISSAC,2002
31,issac/2007,ISSAC,2007
32,issac/2015,ISSAC,2015
33,issac/2009,ISSAC,2009
34,issac/1992,ISSAC,1992
35,issac/1989,ISSAC,1989
36,issac/1994,ISSAC,1994
37,issac/2005,ISSAC,2005
38,issac/2017sc,SC²@ISSAC,2017sc
39,issac/1990,ISSAC,1990
40,issac/1991,ISSAC,1991
41,issac/2019,ISSAC,2019
42,issac/1999,ISSAC,1999
43,issac/1976,SYMSAC,1976
44,issac/2008,ISSAC,2008
45,issac/2003,ISSAC,2003
46,issac/1981,SYMSAC,1981
47,issac/2006,ISSAC,2006
48,issac/2013,ISSAC,2013
49,issac/1986,SYMSAC,1986
50,issac/2001,ISSAC,2001
51,issac/2016,ISSAC,2016
52,issac/1996,ISSAC,1996
53,issac/2017pasco,PASCO@ISSAC,2017pasco
54,issac/2012,ISSAC,2012
55,issac/2007snc,SNC,2007snc
56,issac/1995,ISSAC,1995
57,issac/2014,ISSAC,2014
58,issac/1993,ISSAC,1993
59,issac/2004,ISSAC,2004
60,issac/1997,ISSAC,1997
61,issac/2000,ISSAC,2000
62,issac/2017,ISSAC,2017
63,issac/2010,ISSAC,2010
64,issac/2011,ISSAC,2011
65,issac/2018,ISSAC,2018
66,issac/1998,ISSAC,1998
67,issac/2007pasco,PASCO,2007pasco
68,icsem/2007,ICSEM,2007
69,acl-linc/2005,LINC@IJCNLP,2005
70,acl-linc/2003,LINC@EACL,2003
71,weis/2007,WEIS,2007
72,weis/2015,WEIS,2015
73,weis/2009,WEIS,2009
74,weis/2011s,WEIS (Springer Volume),2011s
75,weis/2005,WEIS,2005
76,weis/2008,WEIS,2008
77,weis/2006,WEIS,2006
78,weis/2012,WEIS,2012
79,weis/2010,WEIS,2010
80,weis/2011,WEIS,2011
81,depcos/2007,DepCoS-RELCOMEX,2007
82,depcos/2015,DepCoS-RELCOMEX,2015
83,depcos/2009,DepCoS-RELCOMEX,2009
84,depcos/2019,DepCoS-RELCOMEX,2019
85,depcos/2008,DepCoS-RELCOMEX,2008
86,depcos/2006,DepCoS-RELCOMEX,2006
87,depcos/2013,DepCoS-RELCOMEX,2013
88,depcos/2016,DepCoS-RELCOMEX,2016
89,depcos/2014,DepCoS-RELCOMEX,2014
