key,keyword1,keyword2,keyword3
nooj/HammoudaH16,computer vision,indexing,data storage
nooj/Watabe17,data management,big data,keyword4
nooj/GottiMGL17,keyword2,big data,data querying
nooj/BlancheteMMM18,computer vision,data querying,indexing
nooj/Machonis16,keyword4,big data,data processing
nooj/Collec-Clerc15,indexing,keyword4,data storage
nooj/HammoudaH17,indexing,data querying,data processing
nooj/SojatBK16,data processing,big data,keyword3
nooj/HetsevichOL15,data modeling,keyword1,data modeling
nooj/KassmiMMM18,computer vision,keyword4,keyword2
nooj/Annouz16,indexing,data storage,keyword1
nooj/ZaharievLHH15,indexing,keyword2,data modeling
nooj/EspositoE16,computer vision,keyword1,data management
nooj/TorjmenH18,keyword2,data modeling,data storage
nooj/MotaBR0CC16,data processing,data modeling,data modeling
nooj/Cai18,keyword1,data querying,keyword1
nooj/Buono16,data storage,computer vision,computer vision
nooj/GottiMLG18,data processing,data modeling,indexing
nooj/MaistoG15,keyword2,data processing,indexing
nooj/EnnasriDFH17,keyword4,data querying,keyword4
nooj/Duran17,keyword3,data storage,keyword4
nooj/Silberztein17,data processing,keyword1,data processing
nooj/FehriSD16,keyword3,computer vision,data management
nooj/SeidehFH16,indexing,indexing,data querying
nooj/ChennyM16,data modeling,keyword2,keyword2
nooj/HammoudaH18,data management,data storage,data storage
nooj/MotaBB18,keyword3,indexing,data querying
nooj/Buono15,big data,keyword3,keyword4
nooj/Yang18,keyword4,keyword3,indexing
nooj/Silberztein15,keyword3,data modeling,data processing
nooj/Lay18,computer vision,data querying,keyword3
nooj/KaigorodovaRNHG15,keyword3,computer vision,indexing
nooj/BlancheteMMM17,keyword1,keyword3,data storage
nooj/KassmiMMM17,keyword2,data processing,data processing
nooj/NajarMG15,keyword3,data querying,indexing
nooj/VekaY15,data processing,indexing,data modeling
nooj/MirtoC17,keyword3,indexing,data modeling
nooj/BourahmaMMM18,indexing,keyword4,computer vision
nooj/Duran16,big data,data storage,data management
nooj/EssidF18,data querying,keyword3,keyword2
nooj/Cheikhrouhou17,keyword3,data management,keyword4
nooj/MotaCB17,data storage,data modeling,data management
nooj/HammoudaH15,computer vision,indexing,indexing
nooj/Koza16,indexing,indexing,data processing
nooj/Duran15,keyword2,data management,keyword2
nooj/Yang17,keyword3,keyword2,data querying
nooj/LysySH16,data storage,data processing,data processing
nooj/Cheikhrouhou16,data processing,data management,data modeling
nooj/Pelosi15,data modeling,keyword3,data processing
nooj/ScoppettaAMLCM17,keyword1,big data,keyword2
nooj/KarlBR18,computer vision,data processing,keyword3
nooj/Duran18,computer vision,data querying,data querying
nooj/Langella16,keyword2,big data,computer vision
nooj/NajarMG16,keyword3,keyword2,keyword4
nooj/RodrigoRA18,keyword2,data storage,data storage
nooj/HetsevichVKRL16,keyword1,keyword4,data processing
nooj/VolpeEE17,data processing,data management,data modeling
nooj/SojatKF18,keyword3,big data,keyword4
nooj/BourahmaMMM17,keyword3,big data,data storage
nooj/MotaC0B15,data management,big data,data management
nooj/Silberztein18,data modeling,keyword4,keyword1
nooj/KocijanJL16,indexing,data management,data processing
nooj/Parisi16,keyword4,keyword1,keyword3
nooj/RhaziB17,indexing,data storage,keyword3
nooj/MonteleoneGM17,keyword3,keyword2,computer vision
nooj/Blanco15,keyword3,keyword1,data querying
nooj/HetsevichKKDZS17,keyword3,data storage,keyword3
nooj/Monteleone15,big data,keyword4,computer vision
nooj/Monteleone18,data querying,indexing,data querying
nooj/Yamouni15,data management,keyword4,data management
nooj/SeidehFH15,keyword1,data querying,keyword1
nooj/BorodinaH15,data modeling,data modeling,big data
nooj/RodrigoRB17,data management,keyword4,computer vision
nooj/SojatKB17,computer vision,keyword3,keyword1
nooj/EspositoV16,data querying,keyword1,keyword4
nooj/ReentovichHVKKT15,keyword4,data querying,keyword4
nooj/Monteleone16,keyword1,data processing,data modeling
nooj/KocijanBM18,keyword2,data storage,big data
nooj/KocijanL15,data modeling,keyword1,keyword3
nooj/ParisiC18,indexing,data management,data querying
issac/Moses81,keyword2,indexing,keyword2
issac/Krone16,big data,data modeling,data modeling
issac/Kajler92,data management,data storage,data management
issac/RobinsonC06,data processing,data processing,keyword2
issac/BelkovL91,keyword1,keyword2,computer vision
issac/SextonS06,big data,computer vision,data processing
issac/BurgisserS07,keyword3,keyword3,keyword2
issac/DahanS04,keyword4,data storage,data processing
issac/Poulisse06,big data,data processing,keyword2
issac/ZhouW06,keyword1,keyword4,keyword1
issac/DinYZ18,keyword4,keyword1,computer vision
issac/BiniP90,keyword2,data storage,computer vision
issac/Parker17,data processing,keyword4,indexing
issac/IshikawaK12,keyword4,keyword1,data querying
issac/SteinZ91,data modeling,indexing,data management
issac/Teitelbaum88,data processing,data modeling,big data
issac/WuR07,keyword4,keyword1,data management
issac/Shackle89,indexing,data querying,keyword2
issac/MouB18,big data,keyword4,keyword3
issac/Langemyr91,data processing,big data,big data
issac/BuseD07,keyword4,data processing,keyword1
issac/AllamigeonGS16,data processing,data storage,keyword1
issac/KapurW90,computer vision,big data,keyword3
issac/NeigerV17,keyword4,indexing,data querying
issac/Hoeij98,keyword1,keyword3,computer vision
issac/BayerS86,data management,data modeling,data management
issac/ShaoL18,keyword3,keyword3,keyword2
issac/Biscani12,big data,data modeling,data querying
issac/FriedmanWW76,big data,big data,keyword2
issac/Fogelholm81,data storage,computer vision,keyword1
issac/GiesbrechtHL18,indexing,computer vision,data querying
issac/Purtilo86,data management,data processing,computer vision
issac/JeannerodNSV16,data storage,keyword2,data processing
issac/MoritsuguK99,keyword2,indexing,keyword2
issac/Davenport92,computer vision,data processing,data management
issac/Binder96,data querying,computer vision,data modeling
issac/Hitz05,computer vision,data querying,data management
issac/LiaoF95,keyword2,keyword3,data modeling
issac/Saunders81,big data,data modeling,data modeling
issac/CollinsK92,data querying,data processing,data modeling
issac/GuidolinDRV19,big data,computer vision,keyword1
issac/Grigoriev96,computer vision,big data,data management
issac/BoulierL00,indexing,data modeling,indexing
issac/BostanCS05,computer vision,keyword1,keyword2
issac/Dooley98,data storage,keyword2,data processing
issac/PaourisPR19,indexing,data querying,big data
issac/DiekertMW15,keyword3,data processing,keyword4
issac/Schicho98,big data,keyword3,indexing
issac/StrzebonskiT12,data storage,keyword1,data storage
issac/Verschelde04,big data,data storage,keyword4
issac/DebeerstHK08,keyword1,computer vision,big data
issac/Franova90,data modeling,computer vision,keyword2
issac/BinderAENM00,data storage,data management,keyword4
