,key,booktitle,crossref,title,year
57,nooj/HammoudaH16,NooJ,nooj/2016,Integration of a Segmentation Tool for Arabic Corpora in NooJ Platform to Build an Automatic Annotation Tool.,2016
58,nooj/Watabe17,NooJ,nooj/2017,A NooJ Dictionary for the Rromani Language: Toward a NooJ-Relevant Sorting of Morphosyntactic Tags.,2017
59,nooj/GottiMGL17,NooJ,nooj/2017,Nooj Graphical User Interfaces Modernization.,2017
60,nooj/BlancheteMMM18,NooJ,nooj/2018,Arabic Broken Plural Generation Using the Extracted Linguistic Conditions Based on Root and Pattern Approach in the NooJ Platform.,2018
61,nooj/Machonis16,NooJ,nooj/2016,Phrasal Verb Disambiguation Grammars: Cutting Out Noise Automatically.,2016
62,nooj/Collec-Clerc15,NooJ,nooj/2015,Mixed Prolog and NooJ Approach in Japanese Benefactive.,2015
63,nooj/HammoudaH17,NooJ,nooj/2017,Arabic NooJ Parser: Nominal Sentence Case.,2017
64,nooj/SojatBK16,NooJ,nooj/2016,Detection of Verb Frames with NooJ.,2016
65,nooj/HetsevichOL15,NooJ,nooj/2015,Grammars for Sentence into Phrase Segmentation: Punctuation Level.,2015
66,nooj/KassmiMMM18,NooJ,nooj/2018,Implementation of Arabic Phonological Rules in NooJ.,2018
67,nooj/Annouz16,NooJ,nooj/2016,Treatments of the Kabylian Derived Nominal Verbs with NooJ.,2016
68,nooj/ZaharievLHH15,NooJ,nooj/2015,Grapheme-to-Phoneme and Phoneme-to-Grapheme Conversion in Belarusian with NooJ for TTS and STT Systems.,2015
69,nooj/EspositoE16,NooJ,nooj/2016,NooJ Local Grammars for Innovative Startup Language.,2016
70,nooj/TorjmenH18,NooJ,nooj/2018,Construction of Morphological Grammars for the Tunisian Dialect.,2018
71,nooj/MotaBR0CC16,NooJ,nooj/2016,eSPERTo's Paraphrastic Knowledge Applied to Question-Answering and Summarization.,2016
72,nooj/Cai18,NooJ,nooj/2018,A Chinese Electronic Dictionary and Its Application in NooJ.,2018
73,nooj/Buono16,NooJ,nooj/2016,Endpoint for Semantic Knowledge (ESK).,2016
74,nooj/GottiMLG18,NooJ,nooj/2018,NooJ App Optimization.,2018
75,nooj/MaistoG15,NooJ,nooj/2015,Morpheme-Based Recognition and Translation of Medical Terms.,2015
76,nooj/EnnasriDFH17,NooJ,nooj/2017,Question-Response System Using the NooJ Linguistic Platform.,2017
77,nooj/Duran17,NooJ,nooj/2017,Morphological Grammars to Generate and Annotate Verb Derivation in Quechua.,2017
78,nooj/Silberztein17,NooJ,nooj/2017,A New Linguistic Engine for NooJ: Parsing Context-Sensitive Grammars with Finite-State Machines.,2017
79,nooj/FehriSD16,NooJ,nooj/2016,A Decision-Support Tool of Medicinal Plants Using NooJ Platform.,2016
80,nooj/SeidehFH16,NooJ,nooj/2016,Recognition and Extraction of Latin Names of Plants for Matching Common Plant Named Entities.,2016
