id,name,url
US,University of the Southwest,http://www.usw.edu/
BR,Universidade de Fortaleza,http://www.unifor.br/
JP,Toho College of Music,http://www.toho-music.ac.jp/
NI,Universidad de Managua (U de M),http://www.udem.edu.ni/
US,Schreiner College,http://www.schreiner.edu/
US,Albany State University,http://www.asurams.edu/
BO,Universidad Nuestra Senora de La Paz,http://www.unslp.edu.bo/
SK,Slovak Medical University,http:///www.szu.sk/
TR,Bilkent University,http://www.bilkent.edu.tr/
VN,University of Da Nang,http://www.udn.vn/
IN,University of Calicut,http://unical.ac.in/
IN,Krishna University,http://www.krishnauniversity.ac.in/
US,Fred Hutchinson Cancer Research Center,http://www.fhcrc.org/
US,University of Wyoming,http://www.uwyo.edu/
BY,Belarussian State University of Culture and Arts,http://www.buk.by/
ET,Bahir Dar University,http://www.bdu.edu.et/
CO,Universidad de Manizales,http://www.umanizales.edu.co/
IN,"Indian Institute of Technology, Bombay",http://www.iitb.ac.in/
CZ,Prague International University,http://www.mpu-prague.cz/
KR,Seoul National University of Education,http://www.seoul-e.ac.kr/
DE,Albert-Ludwigs-Universität Freiburg,http://www.uni-freiburg.de/
US,Darton College,http://www.darton.edu/
IN,Mahatma Jyotiba Phule Rohilkhand University Bareilly ,http://www.mjpru.ac.in/
US,Canisius College,http://www.canisius.edu/
TW,National United University,http://www.nuu.edu.tw/
IR,Semnan University of Medical Sciences,http://www.sem-ums.ac.ir/
CN,Changchun Teachers College,http://www.cncnc.edu.cn/
JP,Poole Gakuin University,http://www.poole.ac.jp/
US,Wichita State University,http://www.twsu.edu/
SV,Universidad Pedagógica de El Salvador,http://www.universidadpedagogica.com/
YE,Saba University,http://www.sabauni.net/
GB,University of Stirling,http://www.stir.ac.uk/
TZ,Sebatian Kolowa University College,http://www.sekuco.org/
US,"University of Maine, Machias",http://www.umm.maine.edu/
US,"City University of New York, Bernard M. Baruch College",http://www.baruch.cuny.edu/
CN,Jilin University of Technology,http://www.jut.edu.cn/
IT,University Institute of Architecture Venice,http://www.iuav.unive.it/
RW,Adventist University of Central Africa,http://www.auca.ac.rw/
