Kais Haddar,Universidade de Fortaleza
Nadia Ghezaiel Hammouda,Universidade de Fortaleza
Masako Watabe,Universidade de Fortaleza
Naziha Laaz,Universidade de Fortaleza
Samir Mbarki,Universidade de Fortaleza
Sara Gotti,Universidade de Fortaleza
Zineb Gotti,Universidade de Fortaleza
Abdelaziz Mouloudi,Universidade de Fortaleza
Ilham Blanchete,Universidade de Fortaleza
Mohammed Mourchid,Universidade de Fortaleza
Peter A. Machonis,Universidade de Fortaleza
ValÃ©rie Collec-Clerc,Universidade de Fortaleza
Bozo Bekavac,Universidade de Fortaleza
Kresimir Sojat,Universidade de Fortaleza
Kristina Kocijan,Universidade de Fortaleza
Boris Lobanov,Universidade de Fortaleza
Tatsiana Okrut,Universidade de Fortaleza
Yuras Hetsevich,Universidade de Fortaleza
Rafik Kassmi,Universidade de Fortaleza
Hamid Annouz,Universidade de Fortaleza
Alena Hiuntar,Universidade de Fortaleza
Stanislau Lysy,Universidade de Fortaleza
Vadim Zahariev,Universidade de Fortaleza
Yury Hetsevich,Universidade de Fortaleza
Annibale Elia,Universidade de Fortaleza
Francesca Esposito,Universidade de Fortaleza
Roua Torjmen,Universidade de Fortaleza
Anabela Barreiro,Universidade de Fortaleza
Cristina Mota,Universidade de Fortaleza
Francisco Raposo 0001,Universidade de Fortaleza
LuÃ­sa Coheur,Universidade de Fortaleza
Ricardo Ribeiro 0001,Universidade de Fortaleza
SÃ©rgio Curto,Universidade de Fortaleza
Zhen Cai,Universidade de Fortaleza
Maria Pia di Buono,Universidade de Fortaleza
Alessandro Maisto,Universidade de Fortaleza
Raffaele Guarasci,Universidade de Fortaleza
HÃ©la Fehri,Universidade de Fortaleza
Imen Ennasri,Universidade de Fortaleza
Sondes Dardour,Universidade de Fortaleza
Maximiliano Duran,Universidade de Fortaleza
Max Silberztein,Universidade de Fortaleza
Mohamed Aly Fall Seideh,Universidade de Fortaleza
Hiba Chenny,Universidade de Fortaleza
Slim Mesfar,Universidade de Fortaleza
Jorge Baptista,Universidade de Fortaleza
Tong Yang,Universidade de Fortaleza
Sonia Lay,Universidade de Fortaleza
K. Rusetski,Universidade de Fortaleza
