key,title,year,crossref
thipeac/GolanderW09,Reexecution and Selective Reuse in Checkpoint Processors.,2009,thipeac/2009-2
thipeac/ChoiPD09,Accurate Instruction Pre-scheduling in Dynamically Scheduled Processors.,2009,thipeac/2009-2
thipeac/SarkarT11,Data Layout for Cache Performance on a Multithreaded Architecture.,2011,thipeac/2011-3
thipeac/AnsariLKJKW11,Robust Adaptation to Available Parallelism in Transactional Memory Applications.,2011,thipeac/2011-3
thipeac/Waliullah11,Efficient Partial Roll-Backing Mechanism for Transactional Memory Systems.,2011,thipeac/2011-3
thipeac/OBoyleBC07,Introduction to Part 2.,2007,thipeac/2007-1
thipeac/CopeCLH11,A Systematic Design Space Exploration Approach to Customising Multi-Processor Architectures: Exemplified Using Graphics Processors.,2011,thipeac/2011-4
thipeac/LiaoJS11,A Modular Simulator Framework for Network-on-Chip Based Manycore Chips Using UNISIM.,2011,thipeac/2011-4
thipeac/KhanK11,Microvisor: A Runtime Architecture for Thermal Management in Chip Multiprocessors.,2011,thipeac/2011-4
thipeac/WuYWHRGZ11,Tiled Multi-Core Stream Architecture.,2011,thipeac/2011-4
thipeac/VandeputteE11a,Finding Extreme Behaviors in Microprocessor Workloads.,2011,thipeac/2011-4
thipeac/AnsariLKJKW11a,Transaction Reordering to Reduce Aborts in Software Transactional Memory.,2011,thipeac/2011-4
thipeac/HuJK09,Combining Edge Vector and Event Counter for Time-Dependent Power Behavior Characterization.,2009,thipeac/2009-2
thipeac/SusuMAAM07,Reconfiguration Strategies for Environmentally Powered Devices: Theoretical Analysis and Experimental Validation.,2007,thipeac/2007-1
thipeac/BuytaertVEB07,GCH: Hints for Triggering Garbage Collections.,2007,thipeac/2007-1
thipeac/GoudarziIN11,Software-Level Instruction-Cache Leakage Reduction Using Value-Dependence of SRAM Leakage in Nanometer Technologies.,2011,thipeac/2011-3
thipeac/VandeputteE11,Characterizing Time-Varying Program Behavior Using Phase Complexity Surfaces.,2011,thipeac/2011-4
thipeac/LatorreMGCG11,CROB: Implementing a Large Instruction Window through Compression.,2011,thipeac/2011-3
thipeac/GeigerMT07,Specializing Cache Structures for High Performance and Energy Conservation in Embedded Systems.,2007,thipeac/2007-1
thipeac/MolnosCHE07,Static Cache Partitioning Robustness Analysis for Embedded On-Chip Multi-processors.,2007,thipeac/2007-1
thipeac/YuanYF11,An Efficient and Flexible Task Management for Many Cores.,2011,thipeac/2011-4
thipeac/FursinCOT07,Quick and Practical Run-Time Evaluation of Multiple Program Optimizations.,2007,thipeac/2007-1
thipeac/BeiuMKM11,On Two-Layer Brain-Inspired Hierarchical Topologies - A Rent's Rule Approach -.,2011,thipeac/2011-4
thipeac/KlugOWT11,autopin - Automated Optimization of Thread-to-Core Pinning on Multicore Systems.,2011,thipeac/2011-3
thipeac/LinC11,Cache Sensitive Code Arrangement for Virtual Machine.,2011,thipeac/2011-3
thipeac/JonesOAG11,Compiler Directed Issue Queue Energy Reduction.,2011,thipeac/2011-4
thipeac/RyooURKFH07,Automatic Discovery of Coarse-Grained Parallelism in Media Applications.,2007,thipeac/2007-1
thipeac/KhatibBPBJBKHNJ07,Hardware/Software Architecture for Real-Time ECG Monitoring and Analysis Leveraging MPSoC Technology.,2007,thipeac/2007-1
thipeac/VandierendonckS09,Fetch Gating Control through Speculative Instruction Window Weighting.,2009,thipeac/2009-2
thipeac/AzevedoJMTHARV11,A Highly Scalable Parallel Implementation of H.264.,2011,thipeac/2011-4
thipeac/SonK07,A Prefetching Algorithm for Multi-speed Disks.,2007,thipeac/2007-1
thipeac/Wilkes07,High Performance Processor Chips.,2007,thipeac/2007-1
thipeac/Stenstrom07,Introduction to Part 1.,2007,thipeac/2007-1
thipeac/McKee07,Introduction to Part 3.,2007,thipeac/2007-1
thipeac/HenryN11,Hybrid Super/Subthreshold Design of a Low Power Scalable-Throughput FFT Architecture.,2011,thipeac/2011-4
thipeac/OsborneLCM11,Energy Reduction by Systematic Run-Time Reconfigurable Hardware Deactivation.,2011,thipeac/2011-4
thipeac/SaidaniLFTB11,Parallelization Schemes for Memory Optimization on the Cell Processor: A Case Study on the Harris Corner Detector.,2011,thipeac/2011-3
thipeac/BlumrichSG11,Exploring the Architecture of a Stream Register-Based Snoop Filter.,2011,thipeac/2011-3
thipeac/NethercoteBM07,Convergent Compilation Applied to Loop Unrolling.,2007,thipeac/2007-1
thipeac/PlishkerSKB11,Heterogeneous Design in Functional DIF.,2011,thipeac/2011-4
thipeac/LlorenteKWH11,Advanced Packet Segmentation and Buffering Algorithms in Network Processors.,2011,thipeac/2011-4
thipeac/ChenK07,An Approach for Enhancing Inter-processor Data Locality on Chip Multiprocessors.,2007,thipeac/2007-1
thipeac/MuralidharaK11,Communication Based Proactive Link Power Management.,2011,thipeac/2011-4
thipeac/MoretoCRV11,Dynamic Cache Partitioning Based on the MLP of Cache Misses.,2011,thipeac/2011-3
thipeac/KoteraAETK11,Power-Aware Dynamic Cache Partitioning for CMPs.,2011,thipeac/2011-3
thipeac/KeramidasXK09,Recruiting Decay for Dynamic Power Reduction in Set-Associative Caches.,2009,thipeac/2009-2
thipeac/KluyskensE09,Branch Predictor Warmup for Sampled Simulation through Branch History Matching.,2009,thipeac/2009-2
thipeac/PinterW07,Selective Code Compression Scheme for Embedded Systems.,2007,thipeac/2007-1
thipeac/OliverFCA07,Using Application Bisection Bandwidth to Guide Tile Size Selection for the Synchroscalar Tile-Based Architecture.,2007,thipeac/2007-1
thipeac/AhnP09,Fast Code Generation for Embedded Processors with Aliased Heterogeneous Registers.,2009,thipeac/2009-2
thipeac/JahreN11,A High Performance Adaptive Miss Handling Architecture for Chip Multiprocessors.,2011,thipeac/2011-4
thipeac/BartoliniFP11,Eighth MEDEA Workshop.,2011,thipeac/2011-3
thipeac/DevosCVS11,Constructing Application-Specific Memory Hierarchies on FPGAs.,2011,thipeac/2011-3
thipeac/JaddoeTP11,Signature-Based Calibration of Analytical Performance Models for System-Level Design Space Exploration.,2011,thipeac/2011-4
thipeac/IbrahimN09,Power-Aware Bus Coscheduling for Periodic Realtime Applications Running on Multiprocessor SoC.,2009,thipeac/2009-2
thipeac/SazeidesMCK11,Improving Branch Prediction by Considering Affectors and Affectees Correlations.,2011,thipeac/2011-3
thipeac/MahoneySBP09,Performance Characterization for the Implementation of Content Addressable Memories Based on Parallel Hashing Memories.,2009,thipeac/2009-2
thipeac/RullmannM11,A Cost Model for Partial Dynamic Reconfiguration.,2011,thipeac/2011-4
thipeac/NingK07,Power Aware External Bus Arbitration for System-on-a-Chip Embedded Systems.,2007,thipeac/2007-1
thipeac/WadaHMSNSKK11,A Parallelizing Compiler Cooperative Heterogeneous Multicore Processor Architecture.,2011,thipeac/2011-4
thipeac/StenstromW09,Introduction.,2009,thipeac/2009-2
thipeac/RochangeS09,A Context-Parameterized Model for Static Analysis of Execution Times.,2009,thipeac/2009-2
thipeac/BhadauriaMST09,Data Cache Techniques to Save Power and Deliver High Performance in Embedded Systems.,2009,thipeac/2009-2
thipeac/NagarajanGK09,Compiler-Assisted Memory Encryption for Embedded Processors.,2009,thipeac/2009-2
thipeac/HoogerbruggeT11,A Multithreaded Multicore System for Embedded Media Processing.,2011,thipeac/2011-3
thipeac/FakhreddineAAJ07,Dynamic and On-Line Design Space Exploration for Reconfigurable Architectures.,2007,thipeac/2007-1
thipeac/CanedoAS09,Compiler Support for Code Size Reduction Using a Queue-Based Processor.,2009,thipeac/2009-2
thipeac/WelcS11,Software Transactional Memory Validation - Time and Space Considerations.,2011,thipeac/2011-4
thipeac/BosschereLMNOPRSSST07,High-Performance Embedded Architecture and Compilation Roadmap.,2007,thipeac/2007-1
thipeac/ShiLL07,Memory-Centric Security Architecture.,2007,thipeac/2007-1
thipeac/ChanetCMNB09,Linux Kernel Compaction through Cold Code Swapping.,2009,thipeac/2009-2
thipeac/DevosBCCDS07,Finding and Applying Loop Transformations for Generating Optimized FPGA Implementations.,2007,thipeac/2007-1
thipeac/Aggarwal09,Complexity Effective Bypass Networks.,2009,thipeac/2009-2
jgtools/Frisvad12,Building an Orthonormal Basis from a 3D Unit Vector Without Normalization.,2012,conf/icalt/2012
jgtools/SeoA12,Line Selection Tool for 3D Artists.,2012,conf/icalt/2012
jgtools/SchretterKD12,Golden Ratio Sequences for Low-Discrepancy Sampling.,2012,conf/icalt/2012
jgtools/AnjyoTL12,A Practical Approach to Direct Manipulation Blendshapes.,2012,conf/icalt/2012
jgtools/ManoharanR13,An Improved Circle Drawing Algorithm on a Hexagonal Grid.,2013,conf/icalt/2013
jgtools/LeBlancSAB12,Multi-Band Fourier Synthesis of Ocean Waves.,2012,conf/icalt/2012
jgtools/IwanickiS12,Normal Mapping with Low-Frequency Precomputed Visibility.,2012,conf/icalt/2012
jgtools/Tarini12,Cylindrical and Toroidal Parameterizations Without Vertex Seams.,2012,conf/icalt/2012
jgtools/ChampagnatS12,Efficient Cubic B-spline Image Interpolation on a GPU.,2012,conf/icalt/2012
jgtools/Pfeifle12,Rendering Cubic Curves on a GPU with Floater's Implicitization.,2012,conf/icalt/2012
jgtools/UpchurchD12,Tightening the Precision of Perspective Rendering.,2012,conf/icalt/2012
jgtools/McEwanSRG12,Efficient Computational Noise in GLSL.,2012,conf/icalt/2012
jgtools/Pobegailo13,Construction of Small Circular Arcs on a Sphere of Unit Quaternions.,2013,conf/icalt/2013
jgtools/MousasNA13,The Minimum Energy Expenditure Shortest Path Method.,2013,conf/icalt/2013
jgtools/Jacobson13,Bijective Mappings with Generalized Barycentric Coordinates: A Counterexample.,2013,conf/icalt/2013
jgtools/Ray12,An Alternative Algorithm for Line Clipping.,2012,conf/icalt/2012
jgtools/YuanNS12,Irradiance Rigs.,2012,conf/icalt/2012
jgtools/NunesVRFT12,Rendering Tubes from Discrete Curves Using Hardware Tessellation.,2012,conf/icalt/2012
jgtools/FrogleyJ13,Fast Relabeling of Deformable Delaunay Tetrahedral Meshes Using a Compact Uniform Grid.,2013,conf/icalt/2013
jgtools/Kenwright12,Inverse Kinematics - Cyclic Coordinate Descent (CCD).,2012,conf/icalt/2012
jgtools/VoSSP12,Simple and Efficient Mesh Layout with Space-Filling Curves.,2012,conf/icalt/2012
jods/SaboudM08,Exploring the Semantic Web as Background Knowledge for Ontology Matching.,2008,jods/2008-11
jods/PerniciS03,Data Quality in Web Information Systems.,2003,jods/2003
jods/WuLCX11,TwigTable: Using Semantics in XML Twig Pattern Query Processing.,2011,jods/2011-15
jods/RoserB08,Automatic Generation and Evolution of Model Transformations Using Ontology Engineering Space.,2008,jods/2008-11
jods/SimperlS07,Creating Ontologies for Content Representation - The OntoSeed Suite.,2007,jods/2007-9
jods/GeorgeS06,Time-Aggregated Graphs for Modeling Spatio-temporal Networks.,2006,jods/2008-11
jods/MeoQTU07,Semantics-Guided Clustering of Heterogeneous XML Schemas.,2007,jods/2007-9
jods/YangK03,Reasoning about Anonymous Resources and Meta Statements on the Semantic Web.,2003,jods/2003
jods/BettiniWJ05,Information Release Control: A Learning-Based Architecture.,2005,jods/2005-2
jods/DasiopoulouKS09,Applying Fuzzy DLs in the Extraction of Image Semantics.,2009,jods/2009-14
jods/Piprani08,Using ORM-Based Models as a Foundation for a Data Quality Firewall in an Advanced Generation Data Warehouse (Extended Version).,2008,jods/2008-11
jods/JarrarDM03,On Using Conceptual Data Modeling for Ontology Engineering.,2003,jods/2003
jods/VolzSM05,Incrementally Maintaining Materializations of Ontologies Stored in Logic Databases.,2005,jods/2005-2
jods/RinderleR07,A Formal Framework for Adaptive Access Control Models.,2007,jods/2007-9
jods/CleveMH11,Database Semantics Recovery through Analysis of Dynamic SQL Statements.,2011,jods/2011-15
jods/KarabatisCJLALF09,Using Semantic Networks and Context in Search for Relevant Software Engineering Artifacts.,2009,jods/2009-14
jods/ChungM05,Dynamic Pattern Mining: An Incremental Data Clustering Approach.,2005,jods/2005-2
jods/EuzenatMSSS11,Ontology Alignment Evaluation Initiative: Six Years of Experience.,2011,jods/2011-15
jods/GugliottaDCTGDGRRS08,Deploying Semantic Web Services-Based Applications in the e-Government Domain.,2008,jods/2008-10
jods/PirroRT09,SECCO: On Building Semantic Links in Peer-to-Peer Networks.,2009,jods/2009-12
jods/SegevG07,Putting Things in Context: A Topological Approach to Mapping Contexts to Ontologies.,2007,jods/2007-9
jods/AlbertoniM08,Asymmetric and Context-Dependent Semantic Similarity among Ontology Instances.,2008,jods/2008-10
jods/JaudoinFPT09,Towards a Scalable Query Rewriting Algorithm in Presence of Value Constraints.,2009,jods/2009-12
jods/MecellaSVBCB03,The DaQuinCIS Broker: Querying Data and Their Quality in Cooperative Information Systems.,2003,jods/2003
jods/GrozaHD11,Capturing Rhetoric and Argumentation Aspects within Scientific Publications.,2011,jods/2011-15
jods/TournairePRT11,Discovery of Probabilistic Mappings between Taxonomies: Principles and Experiments.,2011,jods/2011-15
jods/AtzeniBBG09,MISM: A Platform for Model-Independent Solutions to Model Management Problems.,2009,jods/2009-14
jods/SaisPR09,Combining a Logical and a Numerical Method for Data Reconciliation.,2009,jods/2009-12
jods/BrambillaCCCVFTT08,Experiences in the Design of Semantic Services Using Web Engineering Methods and Tools.,2008,jods/2008-11
jods/PoggiLCGLR08,Linking Data to Ontologies.,2008,jods/2008-10
jods/SureAS03,OntoEdit: Multifaceted Inferencing for Ontology Engineering.,2003,jods/2003
jods/PinetS09,A Unified Object Constraint Model for Designing and Implementing Multidimensional Systems.,2009,jods/2009-13
jods/Pierra08,Context Representation in Domain Ontologies and Its Use for Semantic Integration of Data.,2008,jods/2008-10
jods/KodaliFW05,Enforcing Semantics-Aware Security in Multimedia Surveillance.,2005,jods/2005-2
jods/LeeSL05,A Knowledge Network Approach for Implementing Active Virtual Marketplaces.,2005,jods/2005-2
jods/BrownP09,Multi-faceted Visualisation of Worklists.,2009,jods/2009-12
jods/SkoutasSS09,Ontology-Driven Conceptual Design of ETL Processes Using Graph Transformations.,2009,jods/2009-13
jods/PapastefanatosVSV09,Policy-Regulated Management of ETL Evolution.,2009,jods/2009-13
jods/TroyerBK09,Defining the Semantics of Conceptual Modeling Concepts for 3D Complex Objects in Virtual Reality.,2009,jods/2009-14
jods/NebotLPAP09,Multidimensional Integrated Ontologies: A Framework for Designing Semantic Data Warehouses.,2009,jods/2009-13
jods/GiunchigliaYS07,Semantic Matching: Algorithms and Implementation.,2007,jods/2007-9
jods/Mawlood-YunisWS11,A Reference Model for Semantic Peer-to-Peer Networks.,2011,jods/2011-15
jods/DouMQ05,Ontology Translation on the Semantic Web.,2005,jods/2005-2
jods/CookeGN05,Stream Integration Techniques for Grid Monitoring.,2005,jods/2005-2
jods/HurtadoPW08,Query Relaxation in RDF.,2008,jods/2008-10
jods/TzitzikasAS05,Compound Term Composition Algebra: The Semantics.,2005,jods/2005-2
jods/KalfoglouS03,IF-Map: An Ontology-Mapping Method Based on Information-Flow Theory.,2003,jods/2003
jods/BorgidaS03,Distributed Description Logics: Assimilating Information from Peer Sources.,2003,jods/2003
