key,number,year,journal
thipeac/2009-2,2,2009,Trans. HiPEAC
thipeac/2009-2,2,2009,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2009-2,2,2009,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2009-2,2,2009,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2007-1,1,2007,Trans. HiPEAC
thipeac/2011-4,4,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
thipeac/2011-3,3,2011,Trans. HiPEAC
